date,mse_cov,n_stocks
2023-01-30,3.795778777056466e-07,327
2023-01-31,3.7808859411873914e-07,327
2023-02-01,3.848693997793533e-07,327
2023-02-02,3.732406288208699e-07,327
2023-02-03,3.762478978795942e-07,327
2023-02-06,3.811989583687276e-07,326
2023-02-07,3.608384791289002e-07,325
2023-02-08,3.6081756454318145e-07,325
2023-02-09,1.3148243266782644e-07,325
2023-02-10,1.301206737438857e-07,325
2023-02-13,1.1600189083098517e-07,327
2023-02-14,1.2200311601978056e-07,327
2023-02-15,1.441581903032963e-07,327
2023-02-16,1.3463954100602642e-07,327
2023-02-17,1.2901022516729982e-07,327
2023-02-22,1.329205505670416e-07,325
2023-02-23,1.211707774931674e-07,326
2023-02-24,1.0437603321163021e-07,325
2023-02-27,1.0417541192289887e-07,325
2023-02-28,1.0664122397313413e-07,326
2023-03-01,1.1575095522445953e-07,326
2023-03-02,1.0238631038826197e-07,325
2023-03-03,1.033445357385455e-07,324
2023-03-06,1.1455792611000582e-07,325
2023-03-07,1.1059505725588303e-07,325
2023-03-08,1.412556834855201e-07,325
2023-03-09,1.4159336019942731e-07,325
2023-03-10,1.5072913662538686e-07,324
2023-03-13,1.309404141787284e-07,325
2023-03-14,1.3297907356494052e-07,325
2023-03-15,1.3154827017357111e-07,325
2023-03-16,1.1262432196772691e-07,324
2023-03-17,1.0922218339192196e-07,325
2023-03-20,1.1852328468522606e-07,325
2023-03-21,1.176943320396024e-07,325
2023-03-22,1.161722683328527e-07,327
2023-03-23,1.499385553389112e-07,325
2023-03-24,1.704447984643932e-07,325
2023-03-27,1.73422361519707e-07,325
2023-03-28,1.8067850402863207e-07,324
2023-03-29,1.7242023283908336e-07,324
2023-03-30,1.8352206494292276e-07,325
2023-03-31,1.8568997155888466e-07,325
2023-04-03,1.7748184693991217e-07,322
2023-04-04,1.7697190457363485e-07,322
2023-04-05,1.6756499359778194e-07,322
2023-04-06,2.027953534492754e-07,320
2023-04-10,2.0144091602511598e-07,320
2023-04-11,2.795880302562345e-07,320
2023-04-12,2.8755929142068054e-07,320
2023-04-13,2.88849050973972e-07,320
2023-04-14,2.835900253194095e-07,322
2023-04-17,2.662341209598337e-07,322
2023-04-18,2.56975613822126e-07,323
2023-04-19,2.836225709868109e-07,323
2023-04-20,2.849009853443875e-07,325
2023-04-24,3.3902984395456923e-07,326
2023-04-25,4.703452690814884e-07,326
2023-04-26,5.68120239512752e-07,328
2023-04-27,5.825627235219851e-07,329
2023-04-28,5.725372504938169e-07,330
2023-05-02,5.869358144856045e-07,329
2023-05-03,6.060399756895485e-07,328
2023-05-04,5.866305345444333e-07,331
2023-05-05,6.211865756707385e-07,330
2023-05-08,5.244335261777507e-07,330
2023-05-09,5.249453506068486e-07,330
2023-05-10,5.322819761141588e-07,329
2023-05-11,4.842106475142668e-07,329
2023-05-12,4.912598727500919e-07,328
2023-05-15,4.945717940690583e-07,326
2023-05-16,5.224240347104474e-07,326
2023-05-17,5.310303323909365e-07,327
2023-05-18,5.362244654662914e-07,327
