date,mse_cov,n_stocks
2023-01-30,1.1904351230096739e-06,141
2023-01-31,1.1690987275131227e-06,141
2023-02-01,1.256730445808979e-06,141
2023-02-02,1.196417819711813e-06,141
2023-02-03,1.3557063501124514e-06,141
2023-02-06,1.3708233430511412e-06,141
2023-02-07,1.0998927792385027e-06,141
2023-02-08,1.1454443910731801e-06,141
2023-02-09,2.170836657566136e-07,141
2023-02-10,2.3891745371019276e-07,141
2023-02-13,1.7030963952784275e-07,141
2023-02-14,1.6343762205537352e-07,141
2023-02-15,1.5610971792644424e-07,141
2023-02-16,1.2732858788349332e-07,141
2023-02-17,1.0942572762938044e-07,141
2023-02-22,1.0922525997139733e-07,141
2023-02-23,1.0497959547577909e-07,141
2023-02-24,8.5106040399915e-08,141
2023-02-27,9.513327998565751e-08,141
2023-02-28,9.221134715878164e-08,141
2023-03-01,2.193012886755457e-07,141
2023-03-02,9.93645295327932e-08,141
2023-03-03,1.1319207923769187e-07,141
2023-03-06,2.407132108919161e-07,141
2023-03-07,9.855388836249078e-08,141
2023-03-08,1.4887360778335382e-07,141
2023-03-09,2.854591161533267e-07,141
2023-03-10,1.9315784074849442e-07,141
2023-03-13,1.666086985222117e-07,141
2023-03-14,1.6272695977112192e-07,141
2023-03-15,1.882221395577313e-07,141
2023-03-16,1.4440894366576997e-07,141
2023-03-17,1.8930484136827184e-07,141
2023-03-20,1.5735469023443443e-07,141
2023-03-21,1.7335236356217425e-07,141
2023-03-22,1.712708190279996e-07,141
2023-03-23,1.7711554874635385e-07,141
2023-03-24,2.1330764357805535e-07,141
2023-03-27,2.4770502389549984e-07,141
2023-03-28,2.452152362890075e-07,141
2023-03-29,3.174738029154629e-07,141
2023-03-30,1.8663348140226217e-07,141
2023-03-31,2.887892393955825e-07,141
2023-04-03,2.0284053807811674e-07,141
2023-04-04,2.5900721635812696e-07,141
2023-04-05,2.2724811429297608e-07,141
2023-04-06,5.190728798013954e-07,141
2023-04-10,5.083661707784952e-07,141
2023-04-11,6.421372852397794e-07,141
2023-04-12,6.38340319731122e-07,141
2023-04-13,6.654924218783512e-07,141
2023-04-14,6.463840218645839e-07,141
2023-04-17,6.411496146610666e-07,141
2023-04-18,5.802437349527351e-07,141
2023-04-19,5.130672741534502e-07,141
2023-04-20,6.41707390517499e-07,141
2023-04-24,5.775689672135918e-07,141
2023-04-25,5.302822480168824e-07,141
2023-04-26,5.661945074425554e-07,141
2023-04-27,5.412584763416756e-07,141
2023-04-28,4.979995626808014e-07,141
2023-05-02,5.410538290276691e-07,140
2023-05-03,5.620419649530589e-07,140
2023-05-04,5.41450536532178e-07,141
2023-05-05,6.449085065012619e-07,141
2023-05-08,1.9228648896680658e-07,141
2023-05-09,2.0252087225992956e-07,141
2023-05-10,2.1734192744861895e-07,141
2023-05-11,1.1186792543610829e-07,141
2023-05-12,1.3426822155945388e-07,141
2023-05-15,1.207792669716134e-07,141
2023-05-16,2.0611954686815894e-07,141
2023-05-17,1.316026182404593e-07,141
2023-05-18,1.3340929145226165e-07,141
2023-05-19,1.2089486299987666e-07,141
2023-05-22,1.2537997995267956e-07,141
2023-05-23,1.184321919503456e-07,141
2023-05-24,1.1893279152335673e-07,141
2023-05-25,1.2883396677107155e-07,141
2023-05-26,1.2065606601342425e-07,141
2023-05-29,1.1665589063970759e-07,141
2023-05-30,1.0102351889936631e-07,141
2023-05-31,1.1403394969161484e-07,141
2023-06-01,9.787910709593133e-08,141
2023-06-02,9.407382895514683e-08,141
2023-06-05,1.384911305122094e-07,141
2023-06-06,1.1064448092586204e-07,141
2023-06-07,9.699525024926624e-08,141
2023-06-09,9.027594986363323e-08,141
2023-06-12,8.882892412482346e-08,141
2023-06-13,7.06674467627655e-08,141
2023-06-14,5.802434091574614e-08,141
2023-06-15,5.9203132844184494e-08,141
2023-06-16,6.519697794410497e-08,141
2023-06-19,5.356584370859219e-08,141
2023-06-20,6.420932316093014e-08,141
2023-06-21,5.837910944404405e-08,141
2023-06-22,5.060584486596668e-08,141
2023-06-23,5.4815540653747035e-08,141
2023-06-26,5.0095828844737215e-08,141
2023-06-27,6.235703824178857e-08,141
2023-06-28,6.9897311871049e-08,141
2023-06-29,5.8678885864558236e-08,141
2023-06-30,7.029123542362916e-08,141
2023-07-03,7.054160459772463e-08,141
2023-07-04,6.463496022363071e-08,141
2023-07-05,4.9909899208983475e-08,141
2023-07-06,4.4193851448969636e-08,141
2023-07-07,5.155307464581815e-08,141
2023-07-10,6.750025267859436e-08,141
2023-07-11,5.913761268919126e-08,141
2023-07-12,5.884315513846003e-08,141
2023-07-13,5.799163386669588e-08,141
2023-07-14,5.151882558893606e-08,141
2023-07-17,5.989861345283414e-08,141
2023-07-18,5.591839403036268e-08,141
2023-07-19,6.404142935991399e-08,141
2023-07-20,5.3704297032519085e-08,141
2023-07-21,4.429650162097271e-08,141
2023-07-24,6.333310886779146e-08,141
2023-07-25,4.4731227389934775e-08,141
2023-07-26,4.2831962776558546e-08,141
2023-07-27,3.255599760643104e-08,141
2023-07-28,3.80626864914179e-08,141
2023-07-31,3.209506028663774e-08,141
2023-08-01,3.689766188325223e-08,141
2023-08-02,3.790689449560677e-08,141
2023-08-03,2.8131299974916855e-08,141
2023-08-04,2.635472865533386e-08,141
2023-08-07,1.9523617849992792e-08,141
2023-08-08,4.7778873694928405e-08,140
2023-08-09,2.983490781475565e-08,140
2023-08-10,4.049260972031968e-08,140
2023-08-11,4.3995635552661494e-08,140
2023-08-14,5.873605007931775e-08,140
2023-08-15,6.713657443271847e-08,140
2023-08-16,4.9282694280149186e-08,140
2023-08-17,4.013611355894869e-08,140
2023-08-18,3.792229823642862e-08,140
2023-08-21,4.064989517737126e-08,140
2023-08-22,6.47446651451176e-08,139
2023-08-23,6.498284282772292e-08,139
2023-08-24,4.680561172424298e-08,139
2023-08-25,4.468515616121827e-08,139
2023-08-28,4.772239269395703e-08,139
2023-08-29,7.183442340981059e-08,139
2023-08-30,6.208528293710192e-08,139
2023-08-31,6.599751212513342e-08,139
2023-09-01,5.877029456469967e-08,139
2023-09-04,6.634146649088538e-08,139
2023-09-05,1.2714062099583656e-07,139
2023-09-06,1.0658118676281988e-07,139
2023-09-08,6.730450606943448e-08,139
2023-09-11,6.216818000378232e-08,139
2023-09-12,5.636277031369501e-08,139
2023-09-13,7.123745845619757e-08,139
2023-09-14,1.1754983947210405e-07,139
2023-09-15,8.534244067429227e-08,139
2023-09-18,7.71403173379793e-08,139
2023-09-19,7.033141241231341e-08,139
2023-09-20,6.379800352844102e-08,139
2023-09-21,5.3158103133295935e-08,139
2023-09-22,6.750176738232494e-08,139
2023-09-25,6.272007113010115e-08,139
2023-09-26,5.544234563224438e-08,139
2023-09-27,6.317598037482504e-08,139
2023-09-28,5.062675227667909e-08,139
2023-09-29,7.592840707029231e-08,139
2023-10-02,9.334932982461757e-08,139
2023-10-03,5.9155397162583686e-08,139
2023-10-04,1.1733676078549687e-07,139
2023-10-05,1.2826076971097063e-07,139
2023-10-06,1.6565013996386286e-07,139
2023-10-09,1.716319967059606e-07,139
2023-10-10,1.582369006125127e-07,139
2023-10-11,1.830396464523987e-07,139
2023-10-13,1.1842252349742833e-07,139
2023-10-16,1.4538548610548153e-07,139
2023-10-17,1.3237220897022354e-07,139
2023-10-18,1.1799330710760974e-07,139
