date,mse_cov,n_stocks
2023-01-30,4.664332237706109e-06,98
2023-01-31,2.4148570709352263e-06,98
2023-02-01,2.1578986243506448e-06,98
2023-02-02,1.9765962872576725e-06,98
2023-02-03,2.1164081714725985e-06,98
2023-02-06,2.2390353366589484e-06,98
2023-02-07,1.6250933371598775e-06,98
2023-02-08,1.5999187624947293e-06,98
2023-02-09,1.7990862996116582e-06,98
2023-02-10,1.6636344397481513e-06,98
2023-02-13,1.5160541342348819e-06,98
2023-02-14,1.5893529588207256e-06,98
2023-02-15,1.8042540394452182e-06,98
2023-02-16,1.8055675930791004e-06,98
2023-02-17,1.634369610492913e-06,98
2023-02-22,2.181614824580498e-06,98
2023-02-23,2.2053039574122007e-06,98
2023-02-24,1.6205500509956579e-06,98
2023-02-27,2.173265239821789e-06,98
2023-02-28,2.7479214164336065e-06,98
2023-03-01,2.357143687398464e-06,97
2023-03-02,8.814789216747546e-07,96
2023-03-03,9.096110161605232e-07,96
2023-03-06,1.0544046379646517e-06,96
2023-03-07,8.821030025864486e-07,96
2023-03-08,1.6563578544490909e-06,96
2023-03-09,9.700753064721464e-07,95
2023-03-10,1.0697649063658184e-06,95
2023-03-13,9.518753582472078e-07,95
2023-03-14,1.1476621681433949e-06,95
2023-03-15,1.2816530536174838e-06,95
2023-03-16,1.2984586403780582e-06,95
2023-03-17,1.444011642658609e-06,95
2023-03-20,1.5773291195126256e-06,95
2023-03-21,1.552393360212049e-06,95
2023-03-22,1.5570888205960586e-06,95
2023-03-23,2.5236189524611413e-06,95
2023-03-24,3.0834586925945653e-06,95
2023-03-27,3.104197008823707e-06,95
2023-03-28,1.452044520331117e-06,94
2023-03-29,1.307034424680198e-06,94
2023-03-30,2.6904776472883624e-06,95
2023-03-31,6.58654621002728e-05,96
2023-04-03,1.0942607129126744e-05,96
2023-04-04,1.0863798998746025e-05,96
2023-04-05,3.3764542833055282e-06,96
2023-04-06,2.926214179974391e-06,96
2023-04-10,7.590769276612146e-06,97
2023-04-11,1.0055915674063533e-05,97
2023-04-12,9.935595973078548e-06,97
2023-04-13,1.0210838304139387e-05,97
2023-04-14,9.620247788605728e-06,97
2023-04-17,8.70709535854413e-06,97
2023-04-18,6.753494947885955e-06,97
2023-04-19,7.72249465746169e-06,97
2023-04-20,8.037746594097901e-06,97
2023-04-24,4.649379386172392e-06,97
2023-04-25,3.0931299987597626e-06,97
2023-04-26,3.160731760694342e-06,97
2023-04-27,2.6384106786157082e-06,97
2023-04-28,1.4593492976389727e-05,98
2023-05-02,7.38200255208483e-06,98
2023-05-03,6.382400171268268e-06,98
2023-05-04,6.017329060052846e-06,98
2023-05-05,6.4954041655148235e-06,98
2023-05-08,6.0821994261834515e-06,98
2023-05-09,6.047879042753723e-06,98
2023-05-10,5.8899601982792864e-06,98
2023-05-11,2.6506527509259813e-06,98
2023-05-12,2.5205359508756707e-06,98
2023-05-15,2.497762311962145e-06,98
2023-05-16,2.497348924617663e-06,98
2023-05-17,2.6694635316452345e-06,98
2023-05-18,2.6546329439828125e-06,98
2023-05-19,1.7098667877286989e-06,98
2023-05-22,1.462181980679067e-06,98
2023-05-23,1.505515671647944e-06,98
2023-05-24,1.5106323358106178e-06,98
2023-05-25,1.4441178477199362e-06,98
2023-05-26,1.446107783657692e-06,98
2023-05-29,1.3872326223285126e-06,98
2023-05-30,6.335558939122367e-07,98
2023-05-31,6.880517694753286e-07,98
2023-06-01,7.242992159200271e-07,98
2023-06-02,4.041674083925159e-07,98
2023-06-05,3.51422364107971e-07,98
2023-06-06,4.297094885731041e-07,98
2023-06-07,3.818744541271048e-07,98
2023-06-09,3.452991123531326e-07,98
2023-06-12,4.479128182429646e-07,98
2023-06-13,3.895000342462237e-07,98
2023-06-14,3.257229360751801e-07,98
2023-06-15,2.499845632783011e-07,98
2023-06-16,3.326102188132638e-07,98
2023-06-19,2.3242818072095825e-07,98
2023-06-20,2.31417680430652e-07,98
2023-06-21,2.1970470144505421e-07,98
2023-06-22,2.2609627927990696e-07,98
2023-06-23,1.9820007348931496e-07,98
2023-06-26,2.3938336055386434e-07,98
2023-06-27,2.7952107659550126e-07,98
2023-06-28,2.6204345302763997e-07,98
2023-06-29,3.063580909896075e-07,98
2023-06-30,2.206112824745465e-07,98
2023-07-03,2.1590771547700393e-07,98
2023-07-04,2.1526583609457309e-07,98
2023-07-05,1.6809270966792441e-07,98
2023-07-06,2.023692769757688e-07,98
2023-07-07,2.4536088230461326e-07,98
2023-07-10,2.566028611914395e-07,98
2023-07-11,2.1475600793712088e-07,98
2023-07-12,1.712103838598112e-07,98
2023-07-13,1.7415166193354023e-07,98
2023-07-14,2.1206894873074873e-07,98
2023-07-17,2.1914697794941042e-07,98
2023-07-18,2.1974548144845814e-07,98
2023-07-19,2.208637711830024e-07,98
2023-07-20,2.023409362121307e-07,98
2023-07-21,2.2444911368526415e-07,98
2023-07-24,1.9945723849566378e-07,98
2023-07-25,1.6309114369767852e-07,98
2023-07-26,1.5950664171579157e-07,98
2023-07-27,1.308540705330714e-07,98
2023-07-28,1.3077525495728193e-07,98
2023-07-31,1.3448552104486592e-07,98
2023-08-01,1.3339031957997772e-07,98
2023-08-02,1.2932230815990995e-07,98
2023-08-03,9.620387380821185e-08,98
2023-08-04,7.044116702872786e-08,98
2023-08-07,7.047715465426606e-08,98
2023-08-08,6.841895334102877e-08,98
2023-08-09,7.151717339681409e-08,98
2023-08-10,8.023393728183174e-08,98
2023-08-11,5.713626978085734e-08,98
2023-08-14,8.81815324441088e-08,98
2023-08-15,8.339725932333983e-08,98
2023-08-16,1.0854827067425034e-07,98
2023-08-17,9.877618603967879e-08,98
2023-08-18,9.082575411233016e-08,98
2023-08-21,8.047750539644496e-08,98
2023-08-22,1.0061706601741663e-07,98
2023-08-23,1.0754297048468855e-07,98
2023-08-24,1.0567275298950064e-07,98
2023-08-25,1.2541125781043127e-07,98
2023-08-28,1.1043717719007354e-07,98
2023-08-29,1.3471873682065721e-07,98
2023-08-30,1.4413372265915374e-07,98
2023-08-31,1.6382037226398596e-07,98
2023-09-01,2.2005415663616e-07,98
2023-09-04,2.3037019586752104e-07,98
2023-09-05,2.39919485267429e-07,98
2023-09-06,2.4987145465279737e-07,98
2023-09-08,2.497309830825324e-07,98
2023-09-11,2.699576125246557e-07,98
2023-09-12,2.6659701706499696e-07,98
2023-09-13,2.5916383243631655e-07,98
2023-09-14,2.518229321478293e-07,98
2023-09-15,2.643136703616941e-07,98
2023-09-18,2.593393320194797e-07,98
2023-09-19,2.560156006894911e-07,98
2023-09-20,2.232701353521367e-07,98
2023-09-21,2.765419630999577e-07,98
2023-09-22,2.7341862063717836e-07,98
2023-09-25,2.3572911209107752e-07,98
2023-09-26,2.589795652697068e-07,98
2023-09-27,2.293656908345848e-07,98
2023-09-28,3.118267477790646e-07,98
2023-09-29,2.888648827043384e-07,98
2023-10-02,2.6553474257687975e-07,98
2023-10-03,3.4333246028071913e-07,98
2023-10-04,3.6930223032728617e-07,98
2023-10-05,3.6263906635732156e-07,98
2023-10-06,3.9021864140507615e-07,98
2023-10-09,3.781889642808252e-07,98
2023-10-10,5.270876725415187e-07,98
2023-10-11,5.531957209208586e-07,98
2023-10-13,7.121747394044416e-07,98
2023-10-16,7.409619919818412e-07,98
2023-10-17,7.78329438090099e-07,98
2023-10-18,9.155102002434993e-07,98
2023-10-19,8.936356066205161e-07,98
2023-10-20,7.812526841991939e-07,98
2023-10-23,9.093780875481313e-07,98
