date,mse_cov,n_stocks
2023-01-30,3.941831552921844e-06,98
2023-01-31,1.8056959499810735e-06,98
2023-02-01,1.6334449496471025e-06,98
2023-02-02,1.5713398805843546e-06,98
2023-02-03,1.611585525340067e-06,98
2023-02-06,1.7172166399973408e-06,98
2023-02-07,1.2549082953699797e-06,98
2023-02-08,1.0677960509597561e-06,98
2023-02-09,1.3054048177617202e-06,98
2023-02-10,1.1892518317642853e-06,98
2023-02-13,1.2528939967759867e-06,98
2023-02-14,1.2273898128549567e-06,98
2023-02-15,1.26221719769524e-06,98
2023-02-16,1.3007334774936191e-06,98
2023-02-17,1.2441073523537824e-06,98
2023-02-22,1.7877783937786104e-06,98
2023-02-23,1.7221721440178766e-06,98
2023-02-24,1.3090825034288473e-06,98
2023-02-27,1.3872115966823506e-06,98
2023-02-28,1.6921718364756685e-06,98
2023-03-01,1.4255264370658168e-06,97
2023-03-02,4.371845258660885e-07,96
2023-03-03,4.74831893411059e-07,96
2023-03-06,6.18488450828708e-07,96
2023-03-07,4.93991864345921e-07,96
2023-03-08,9.086371296205422e-07,96
2023-03-09,6.30264388327304e-07,95
2023-03-10,7.38181868260465e-07,95
2023-03-13,6.308178180031902e-07,95
2023-03-14,7.005059711691888e-07,95
2023-03-15,8.109281877139835e-07,95
2023-03-16,8.026219998964344e-07,95
2023-03-17,8.227837364670155e-07,95
2023-03-20,1.031353352413134e-06,95
2023-03-21,1.1017889511610295e-06,95
2023-03-22,1.042837293254331e-06,95
2023-03-23,1.5521558072984324e-06,95
2023-03-24,2.041566223100199e-06,95
2023-03-27,2.0397587833036215e-06,95
2023-03-28,1.0895110128517901e-06,94
2023-03-29,9.318234077312927e-07,94
2023-03-30,1.987325212313556e-06,95
2023-03-31,6.346609469683543e-05,96
2023-04-03,9.846319562424937e-06,96
2023-04-04,9.792908887823106e-06,96
2023-04-05,2.555023024492486e-06,96
2023-04-06,2.504049263186891e-06,96
2023-04-10,7.0668344591906235e-06,97
2023-04-11,8.721389374737885e-06,97
2023-04-12,8.417032537021198e-06,97
2023-04-13,8.391232399960134e-06,97
2023-04-14,8.067257879532762e-06,97
2023-04-17,7.104257709435062e-06,97
2023-04-18,5.5897516244536125e-06,97
2023-04-19,6.278078026622744e-06,97
2023-04-20,6.6186064432640416e-06,97
2023-04-24,3.5311893646636454e-06,97
2023-04-25,2.5127456968664874e-06,97
2023-04-26,2.637988552843595e-06,97
2023-04-27,1.938924646587878e-06,97
2023-04-28,1.3563992729382154e-05,98
2023-05-02,6.202454557522695e-06,98
2023-05-03,5.190804415757614e-06,98
2023-05-04,4.833977365822452e-06,98
2023-05-05,5.304064539821934e-06,98
2023-05-08,5.1830408437214385e-06,98
2023-05-09,5.224083235364303e-06,98
2023-05-10,5.015342459469759e-06,98
2023-05-11,2.0272996204222175e-06,98
2023-05-12,2.00633938994167e-06,98
2023-05-15,1.9982245302412253e-06,98
2023-05-16,1.8139384276711051e-06,98
2023-05-17,2.1001159757547644e-06,98
2023-05-18,2.0279793163211735e-06,98
2023-05-19,1.2374008736999767e-06,98
2023-05-22,1.1721452588514231e-06,98
2023-05-23,1.2141060737200911e-06,98
2023-05-24,1.2180712094049058e-06,98
2023-05-25,1.1394980115490998e-06,98
2023-05-26,1.149195531625167e-06,98
2023-05-29,1.1973829534890756e-06,98
2023-05-30,4.7315160665788353e-07,98
2023-05-31,4.5478945659986084e-07,98
2023-06-01,4.167458605962151e-07,98
2023-06-02,2.6489765091752625e-07,98
2023-06-05,2.5712877084338045e-07,98
2023-06-06,2.8278880429326764e-07,98
2023-06-07,2.752447565059821e-07,98
2023-06-09,2.53296196576275e-07,98
2023-06-12,2.592812926763127e-07,98
2023-06-13,2.7156737297423034e-07,98
2023-06-14,1.9835953608820273e-07,98
2023-06-15,1.623510495014079e-07,98
2023-06-16,1.4924425224346675e-07,98
2023-06-19,1.700629471773638e-07,98
2023-06-20,1.5836052887301005e-07,98
2023-06-21,1.5529462510397063e-07,98
2023-06-22,1.6360147908199298e-07,98
2023-06-23,1.4877439651379744e-07,98
2023-06-26,1.632865944867359e-07,98
2023-06-27,1.723115614243445e-07,98
2023-06-28,1.6934552962136892e-07,98
2023-06-29,2.020521238170722e-07,98
2023-06-30,1.3324456660572466e-07,98
2023-07-03,1.4188410120630067e-07,98
2023-07-04,1.459272122659399e-07,98
2023-07-05,1.0978779587029656e-07,98
2023-07-06,1.4407097385658454e-07,98
2023-07-07,1.749478467262997e-07,98
2023-07-10,1.8029004233255448e-07,98
2023-07-11,1.388128780151742e-07,98
2023-07-12,1.0953576058302413e-07,98
2023-07-13,1.0757589622601267e-07,98
2023-07-14,1.3276657693128285e-07,98
2023-07-17,1.4334753779183306e-07,98
2023-07-18,1.4955745280495544e-07,98
2023-07-19,1.449929138195813e-07,98
2023-07-20,1.350461074101386e-07,98
2023-07-21,1.4370340808392172e-07,98
2023-07-24,1.53877382241555e-07,98
2023-07-25,1.064499674626191e-07,98
2023-07-26,1.0435177879424648e-07,98
2023-07-27,7.768237042433455e-08,98
2023-07-28,8.393702995709492e-08,98
2023-07-31,8.635828288381464e-08,98
2023-08-01,8.550337770355194e-08,98
2023-08-02,8.053800731742171e-08,98
2023-08-03,6.189335300743514e-08,98
2023-08-04,5.164176314594867e-08,98
2023-08-07,5.7767434405298155e-08,98
2023-08-08,5.4229651072893857e-08,98
2023-08-09,7.266222445969954e-08,98
2023-08-10,6.174806062525531e-08,98
