date,mse_cov,n_stocks
2023-01-30,3.7930632406397235e-07,327
2023-01-31,3.7773599042149493e-07,327
2023-02-01,3.8466092427804674e-07,327
2023-02-02,3.715638657229879e-07,327
2023-02-03,3.7640391030032983e-07,327
2023-02-06,3.811345329998478e-07,326
2023-02-07,3.598546774758878e-07,325
2023-02-08,3.5989908618489475e-07,325
2023-02-09,1.3147051507336625e-07,325
2023-02-10,1.3022537432981753e-07,325
2023-02-13,1.1595877577410216e-07,327
2023-02-14,1.2176344066767135e-07,327
2023-02-15,1.4409788122099472e-07,327
2023-02-16,1.3476212015227962e-07,327
2023-02-17,1.2913229153878034e-07,327
2023-02-22,1.3306187013646758e-07,325
2023-02-23,1.2131824802312e-07,326
2023-02-24,1.0451353487352013e-07,325
2023-02-27,1.0428805346657625e-07,325
2023-02-28,1.0678604747794152e-07,326
2023-03-01,1.153326582972071e-07,326
2023-03-02,1.022838398232788e-07,325
2023-03-03,1.033963719052002e-07,324
2023-03-06,1.1435799588096541e-07,325
2023-03-07,1.1064217988014505e-07,325
2023-03-08,1.4125362287048724e-07,325
2023-03-09,1.4082216048690997e-07,325
2023-03-10,1.5069955039719294e-07,324
2023-03-13,1.3111057392229296e-07,325
2023-03-14,1.3309194602485362e-07,325
2023-03-15,1.3169415661259477e-07,325
2023-03-16,1.1277274364907734e-07,324
2023-03-17,1.0920845610341229e-07,325
2023-03-20,1.1858497624648553e-07,325
2023-03-21,1.1786334617121383e-07,325
2023-03-22,1.1632144615297753e-07,327
2023-03-23,1.4993147406214516e-07,325
2023-03-24,1.7056460811138669e-07,325
2023-03-27,1.7359538553569578e-07,325
2023-03-28,1.8074828028313274e-07,324
2023-03-29,1.7161547151259528e-07,324
2023-03-30,1.8365080510187328e-07,325
2023-03-31,1.858304129242802e-07,325
2023-04-03,1.774840594717178e-07,322
2023-04-04,1.770578262704359e-07,322
2023-04-05,1.495750743772423e-07,322
2023-04-06,2.0299986341707165e-07,320
2023-04-10,2.0157305878280588e-07,320
2023-04-11,2.795984092989768e-07,320
2023-04-12,2.877040309502314e-07,320
2023-04-13,2.8902726461534e-07,320
2023-04-14,2.837705351861283e-07,322
2023-04-17,2.663263999585844e-07,322
2023-04-18,2.5713402952222284e-07,323
2023-04-19,2.8368973623634487e-07,323
2023-04-20,2.850696551673074e-07,325
2023-04-24,3.745420533199711e-07,326
