date,mse_cov,n_stocks
2023-01-30,5.997896291698621e-06,327
2023-01-31,1.1012020082013278e-05,327
2023-02-01,4.246418737075259e-06,327
2023-02-02,2.417091535084184e-05,327
2023-02-03,6.268210349903851e-06,327
2023-02-06,4.961806119241068e-06,326
2023-02-07,4.192009914055623e-06,325
2023-02-08,5.434143425913709e-06,325
2023-02-09,7.797205492681714e-06,325
2023-02-10,6.599890211342584e-06,325
2023-02-13,5.264743568860292e-06,327
2023-02-14,2.681791752002014e-05,327
2023-02-15,1.1403650448792298e-05,327
2023-02-16,3.941449778934133e-06,327
2023-02-17,3.750055266249307e-06,327
2023-02-22,3.0164168468238737e-06,325
2023-02-23,2.2508504060352914e-06,326
2023-02-24,2.1763106349961896e-06,325
2023-02-27,4.437171386006891e-06,325
2023-02-28,3.619272690991771e-06,326
2023-03-01,2.1522180211928403e-05,326
2023-03-02,9.722732380498786e-06,325
2023-03-03,5.154842289040507e-06,324
2023-03-06,2.006048815330894e-05,325
2023-03-07,5.4335204921766665e-06,325
2023-03-08,2.041352288418708e-05,325
2023-03-09,2.835676170957736e-05,325
2023-03-10,7.260741100872018e-06,324
2023-03-13,2.493971143633168e-06,325
2023-03-14,5.5711448107279745e-06,325
2023-03-15,4.442235143330958e-06,325
2023-03-16,3.4168202110196742e-06,324
2023-03-17,1.6496178693254976e-05,325
2023-03-20,6.694676761669057e-06,325
2023-03-21,1.6142065644950995e-06,325
2023-03-22,4.878205790340248e-06,327
2023-03-23,1.4030766952385348e-05,325
2023-03-24,7.684157815078642e-06,325
2023-03-27,3.16484143905535e-06,325
2023-03-28,6.1205104130561766e-06,324
2023-03-29,2.8735846582706314e-05,324
2023-03-30,5.478603660682342e-06,325
2023-03-31,4.585350332470192e-06,325
2023-04-03,8.612113646534805e-06,322
2023-04-04,6.619362385575816e-06,322
2023-04-05,2.2643965079643153e-05,322
2023-04-06,1.6970270198630267e-06,320
2023-04-10,4.304958936843101e-06,320
2023-04-11,2.4911447294691445e-05,320
2023-04-12,5.2709527473112285e-06,320
2023-04-13,4.931042852199463e-06,320
2023-04-14,3.2465249503729565e-06,322
2023-04-17,3.7411581564408596e-06,322
2023-04-18,2.9531741440349102e-06,323
2023-04-19,7.838934838132181e-06,323
2023-04-20,4.626762848493892e-06,325
2023-04-24,0.0001627433028181081,326
2023-04-25,3.3233377027324e-05,326
2023-04-26,2.0880270250239467e-05,328
2023-04-27,4.512047645117557e-06,329
2023-04-28,7.919290710168447e-06,330
2023-05-02,2.905054445393354e-05,329
2023-05-03,4.624768911806565e-06,328
2023-05-04,3.854509191277985e-06,331
2023-05-05,1.383916456406683e-05,330
2023-05-08,3.9754771219544806e-06,330
2023-05-09,4.449405926373359e-06,330
2023-05-10,1.0287896451853689e-05,329
2023-05-11,1.388756696416786e-05,329
2023-05-12,9.471865415462677e-06,328
2023-05-15,5.6518821429208864e-06,326
2023-05-16,2.4622952674113756e-05,326
2023-05-17,8.686043394202468e-06,327
2023-05-18,7.784437356848552e-06,327
2023-05-19,3.7446394920092816e-06,326
2023-05-22,4.30373993582693e-06,327
2023-05-23,2.201649087236817e-06,326
2023-05-24,1.6293316629325607e-06,326
2023-05-25,7.064988021025348e-06,326
2023-05-26,3.6437551313054106e-06,327
2023-05-29,1.755825658043121e-06,326
2023-05-30,2.561478980347487e-06,327
2023-05-31,4.700969908381252e-06,332
2023-06-01,6.343489262183489e-06,334
2023-06-02,6.917661956581366e-06,334
2023-06-05,7.423605008960311e-06,335
2023-06-06,7.169635790282879e-06,336
2023-06-07,4.835841067482139e-06,336
2023-06-09,5.695161572340745e-06,336
2023-06-12,7.869486566964774e-06,339
2023-06-13,5.699226684819164e-06,340
2023-06-14,8.974082307283584e-06,339
2023-06-15,2.959542668790879e-06,341
2023-06-16,3.593373625635338e-06,341
2023-06-19,1.3427070914126922e-05,341
2023-06-20,2.1943372819414358e-05,341
2023-06-21,2.3764554935628352e-05,342
2023-06-22,3.156130033076724e-05,343
2023-06-23,8.561770844222622e-06,342
2023-06-26,4.283587377408277e-06,342
2023-06-27,3.934560342947388e-06,342
2023-06-28,5.606020579214558e-06,341
2023-06-29,6.386028773796624e-06,340
2023-06-30,6.162905686438934e-06,340
2023-07-03,3.841790812574026e-06,340
2023-07-04,3.0767202355471807e-06,340
2023-07-05,2.612735342103247e-06,337
2023-07-06,2.327166389214848e-06,337
2023-07-07,3.7505007333968277e-06,336
2023-07-10,2.778594975993798e-06,334
2023-07-11,1.5617013076720516e-06,334
2023-07-12,3.173319697857145e-06,334
2023-07-13,3.3129861587935367e-06,333
2023-07-14,3.2228200951362724e-06,334
2023-07-17,4.205482599479385e-06,335
2023-07-18,2.132898276619035e-06,335
2023-07-19,2.059343723128087e-06,335
2023-07-20,1.4753308376200699e-06,334
2023-07-21,2.0113222674702076e-06,334
2023-07-24,5.464410419348285e-06,334
2023-07-25,1.4205435618206372e-06,333
2023-07-26,1.1624665084345084e-06,334
2023-07-27,9.073804850067973e-07,335
2023-07-28,1.8319222264563773e-06,332
2023-07-31,2.8455936714156297e-06,332
2023-08-01,1.969294094968066e-06,331
2023-08-02,1.8668775594405663e-06,332
2023-08-03,2.4662083036100797e-06,331
2023-08-04,2.2167684649110344e-06,332
2023-08-07,4.106025901684478e-06,332
2023-08-08,6.1223966014289e-06,331
2023-08-09,3.961448849255872e-06,332
2023-08-10,5.5577291452347005e-06,332
2023-08-11,5.845855190121398e-06,332
2023-08-14,8.88286676643003e-06,334
2023-08-15,9.579161226339834e-06,335
2023-08-16,8.540444188696858e-06,336
2023-08-17,3.4701024377757546e-06,336
2023-08-18,1.8056106243525306e-06,336
2023-08-21,2.3351659041967557e-06,337
2023-08-22,3.1297765663950316e-06,334
2023-08-23,4.78420074031367e-06,333
2023-08-24,2.125133331211709e-06,332
2023-08-25,2.7532093326503863e-06,334
2023-08-28,3.1863155141022128e-06,332
2023-08-29,4.3870233684152695e-06,333
2023-08-30,2.086407348951493e-06,332
2023-08-31,4.132426524198038e-06,333
2023-09-01,5.425441800681637e-06,332
2023-09-04,3.079422924713518e-06,332
2023-09-05,3.874250811685812e-06,331
2023-09-06,5.732565989790586e-06,331
2023-09-08,1.1816896181435275e-06,331
2023-09-11,2.0090513018445433e-06,331
2023-09-12,3.991994391024181e-06,331
2023-09-13,2.1480145765317e-06,331
2023-09-14,8.04835646374546e-06,329
2023-09-15,5.2527585304367014e-06,329
2023-09-18,2.301494545764442e-06,329
2023-09-19,1.2703786210498064e-06,329
2023-09-20,1.1784751955983662e-06,328
2023-09-21,2.3783132753920735e-06,328
2023-09-22,1.497571762079223e-06,328
