date,mse_cov,n_stocks
2023-01-30,3.7913390177460633e-07,327
2023-01-31,3.775712569296608e-07,327
2023-02-01,3.8455913689498633e-07,327
2023-02-02,3.694001863183493e-07,327
2023-02-03,3.763053608374768e-07,327
2023-02-06,3.807713026415005e-07,326
2023-02-07,3.578171466176334e-07,325
2023-02-08,3.5795153591661804e-07,325
2023-02-09,1.3128308267069067e-07,325
2023-02-10,1.3018135343819582e-07,325
2023-02-13,1.1585222475523088e-07,327
2023-02-14,1.428574554849943e-07,327
2023-02-15,1.4400237412944924e-07,327
2023-02-16,1.3469587029848441e-07,327
2023-02-17,1.290959667311935e-07,327
2023-02-22,1.3303948372599764e-07,325
2023-02-23,1.2131824395362705e-07,326
2023-02-24,1.0450855567389781e-07,325
2023-02-27,1.0427490195242094e-07,325
2023-02-28,1.0677753037869853e-07,326
2023-03-01,1.1499001920826866e-07,326
2023-03-02,1.0196941685025284e-07,325
2023-03-03,1.032913778555468e-07,324
2023-03-06,1.140440034553424e-07,325
2023-03-07,1.1061056824268348e-07,325
2023-03-08,1.4109745171359133e-07,325
2023-03-09,1.402208893047947e-07,325
2023-03-10,1.5052629506257675e-07,324
2023-03-13,1.3110416223973527e-07,325
2023-03-14,1.3303253186144073e-07,325
2023-03-15,1.3166346068049542e-07,325
2023-03-16,1.1276674332822631e-07,324
2023-03-17,1.0907203391434425e-07,325
2023-03-20,1.1847537160167849e-07,325
2023-03-21,1.1786432044080293e-07,325
2023-03-22,1.1631304407402939e-07,327
2023-03-23,1.4961498113718357e-07,325
2023-03-24,1.705344651151901e-07,325
2023-03-27,1.7361024812472087e-07,325
2023-03-28,1.807190586429626e-07,324
2023-03-29,1.7189044482238342e-07,324
2023-03-30,1.836465029993798e-07,325
2023-03-31,1.8580933068191488e-07,325
2023-04-03,1.7731173310011856e-07,322
2023-04-04,1.7695470314060069e-07,322
2023-04-05,1.8958071487525045e-07,322
2023-04-06,2.030039537202211e-07,320
2023-04-10,2.0156058506590993e-07,320
2023-04-11,2.792668631787246e-07,320
2023-04-12,2.877081431553813e-07,320
2023-04-13,2.890261676281777e-07,320
2023-04-14,2.8377109593489055e-07,322
2023-04-17,2.6614740356312427e-07,322
2023-04-18,2.5711367613231936e-07,323
2023-04-19,2.835007142508156e-07,323
2023-04-20,2.8508093720339185e-07,325
2023-04-24,4.904434976410548e-07,326
2023-04-25,4.601099829638124e-07,326
2023-04-26,5.58013272980891e-07,328
2023-04-27,5.80939902504252e-07,329
2023-04-28,5.726827053519071e-07,330
2023-05-02,6.00452606191076e-07,329
2023-05-03,6.05972445557208e-07,328
2023-05-04,5.868969212084278e-07,331
2023-05-05,6.212003888767968e-07,330
2023-05-08,5.246733576026585e-07,330
2023-05-09,5.251566879047528e-07,330
2023-05-10,5.320832326335838e-07,329
2023-05-11,4.839840556326986e-07,329
2023-05-12,4.912991529745154e-07,328
2023-05-15,4.947456503598757e-07,326
2023-05-16,5.217325280529911e-07,326
2023-05-17,5.311560675950714e-07,327
2023-05-18,5.36376578254526e-07,327
2023-05-19,5.107703728737849e-07,326
2023-05-22,5.147459849276816e-07,327
2023-05-23,1.6731801162251644e-07,326
2023-05-24,1.2919947597246915e-07,326
2023-05-25,1.227854359230646e-07,326
2023-05-26,1.2192737455705896e-07,327
2023-05-29,1.1653199232715778e-07,326
2023-05-30,1.0481247289903659e-07,327
2023-05-31,1.0066056170118823e-07,332
2023-06-01,9.424852134790528e-08,334
2023-06-02,8.333346080357958e-08,334
2023-06-05,8.441650739101027e-08,335
2023-06-06,8.802778295529171e-08,336
2023-06-07,8.475495427060183e-08,336
2023-06-09,8.2216243230914e-08,336
2023-06-12,7.78791196571978e-08,339
2023-06-13,9.268813022828575e-08,340
2023-06-14,6.787195877987855e-08,339
2023-06-15,6.256156210864243e-08,341
2023-06-16,6.108762008068094e-08,341
2023-06-19,6.5455701221281e-08,341
2023-06-20,7.765704821171242e-08,341
2023-06-21,7.515188976958718e-08,342
2023-06-22,9.486090222596182e-08,343
2023-06-23,9.594156431043523e-08,342
2023-06-26,1.0449153709371068e-07,342
2023-06-27,1.1530367060122055e-07,342
2023-06-28,1.168040384628461e-07,341
2023-06-29,1.24215996323486e-07,340
2023-06-30,1.19337915351219e-07,340
2023-07-03,1.1707121005565279e-07,340
2023-07-04,1.1438442689352411e-07,340
2023-07-05,1.064726483812292e-07,337
2023-07-06,1.17176549742588e-07,337
2023-07-07,1.1910202285882851e-07,336
2023-07-10,1.2161316163295648e-07,334
2023-07-11,1.0920628021674223e-07,334
2023-07-12,1.0198021589962544e-07,334
2023-07-13,1.0297253756901562e-07,333
2023-07-14,1.0975065099414924e-07,334
2023-07-17,1.0467617592591974e-07,335
