date,mse_cov,n_stocks
2023-01-30,1.1870678272501552e-06,141
2023-01-31,1.2101956071989705e-06,141
2023-02-01,1.2350905938641529e-06,141
2023-02-02,1.1475632072989961e-06,141
2023-02-03,1.499358929538933e-06,141
2023-02-06,1.3777592666532915e-06,141
2023-02-07,1.0008675532831351e-06,141
2023-02-08,1.0440455384779226e-06,141
2023-02-09,3.0320252407330817e-07,141
2023-02-10,2.9024502778302463e-07,141
2023-02-13,1.7526442618669338e-07,141
2023-02-14,1.9252041189552475e-07,141
2023-02-15,1.825348597414379e-07,141
2023-02-16,1.3922987020914762e-07,141
2023-02-17,1.1632232345501034e-07,141
2023-02-22,1.52006307886565e-07,141
2023-02-23,1.0902120170472363e-07,141
2023-02-24,9.192518301625616e-08,141
2023-02-27,1.128341893805103e-07,141
2023-02-28,1.1456291190306763e-07,141
2023-03-01,5.028397178571574e-07,141
2023-03-02,1.5496607444601998e-07,141
2023-03-03,1.6030831065835437e-07,141
2023-03-06,4.559757325195328e-07,141
2023-03-07,1.256657996266758e-07,141
2023-03-08,3.016984693737106e-07,141
2023-03-09,5.375912858355898e-07,141
2023-03-10,4.201761669684688e-07,141
2023-03-13,2.101360794557225e-07,141
2023-03-14,2.1422322479730962e-07,141
2023-03-15,2.952193328037419e-07,141
2023-03-16,1.6869558150727539e-07,141
2023-03-17,3.817620671453049e-07,141
2023-03-20,3.1649248789012037e-07,141
2023-03-21,1.7905944169731723e-07,141
2023-03-22,1.891469962323251e-07,141
2023-03-23,4.904100939289116e-07,141
2023-03-24,2.783611608674317e-07,141
2023-03-27,2.520187370219224e-07,141
2023-03-28,3.0632619927955517e-07,141
2023-03-29,4.7607994853179247e-07,141
2023-03-30,1.8849769819628947e-07,141
2023-03-31,3.5162135789190136e-07,141
2023-04-03,2.4300433550815e-07,141
2023-04-04,3.1020956840352204e-07,141
2023-04-05,3.202542915495109e-07,141
2023-04-06,5.246957715327091e-07,141
2023-04-10,5.160571706702241e-07,141
2023-04-11,1.0070469022130103e-06,141
2023-04-12,6.49943191997212e-07,141
2023-04-13,6.967044227065064e-07,141
2023-04-14,6.489923191818024e-07,141
2023-04-17,6.584451658281169e-07,141
2023-04-18,5.776319576826685e-07,141
2023-04-19,5.351620505057216e-07,141
2023-04-20,6.498773477511178e-07,141
2023-04-24,5.910217556218109e-07,141
2023-04-25,5.266100729343301e-07,141
2023-04-26,5.83987646210611e-07,141
2023-04-27,5.536247346174573e-07,141
2023-04-28,5.250910213381541e-07,141
2023-05-02,6.082373939429238e-07,140
2023-05-03,5.954221444961499e-07,140
2023-05-04,6.040872820966892e-07,141
2023-05-05,8.333758812952049e-07,141
2023-05-08,2.0815700336993993e-07,141
2023-05-09,2.7203682667432946e-07,141
2023-05-10,2.961396630799331e-07,141
2023-05-11,1.5323643544412457e-07,141
2023-05-12,2.0830953072861743e-07,141
2023-05-15,1.5682938900075943e-07,141
2023-05-16,6.05366488083408e-07,141
2023-05-17,1.9642881583793177e-07,141
