date,mse_cov,n_stocks
2023-01-30,5.058855276252123e-07,272
2023-01-31,5.049434031872863e-07,272
2023-02-01,5.153630616601715e-07,272
2023-02-02,4.81689389945931e-07,272
2023-02-03,4.996018678261739e-07,272
2023-02-06,5.006583116988048e-07,271
2023-02-07,4.544987368552171e-07,271
2023-02-08,4.543485975718096e-07,271
2023-02-09,1.5178941229134087e-07,271
2023-02-10,1.5025475217688236e-07,271
2023-02-13,1.2495170122985385e-07,272
2023-02-14,1.7742143232926465e-07,272
2023-02-15,1.6379545529876133e-07,272
2023-02-16,1.5071480300490028e-07,272
2023-02-17,1.4266409852949268e-07,272
2023-02-22,1.4762403099666868e-07,270
2023-02-23,1.3376268373324523e-07,271
2023-02-24,1.1764912147361856e-07,270
2023-02-27,1.1825009789173176e-07,270
2023-02-28,1.1753459746358949e-07,270
2023-03-01,1.3643852660986118e-07,270
2023-03-02,1.1135481306490585e-07,270
2023-03-03,1.159128922994375e-07,269
2023-03-06,1.3847055021378382e-07,270
2023-03-07,1.3105828604765305e-07,270
2023-03-08,1.695155704732404e-07,270
2023-03-09,1.832479049195122e-07,269
2023-03-10,1.8220711455842468e-07,268
2023-03-13,1.6185620833290822e-07,268
2023-03-14,1.6468078381569738e-07,268
2023-03-15,1.6349488720044787e-07,268
2023-03-16,1.3625044947586283e-07,268
2023-03-17,1.2973297206948443e-07,270
2023-03-20,1.4315486956251978e-07,270
2023-03-21,1.430904867709545e-07,270
2023-03-22,1.4003633576803076e-07,272
2023-03-23,1.8092581206556664e-07,270
2023-03-24,2.0468626734038382e-07,270
2023-03-27,2.07501971445263e-07,270
2023-03-28,2.1487674757137109e-07,270
2023-03-29,2.2048286144852766e-07,270
2023-03-30,2.2127048775178675e-07,270
2023-03-31,2.2411616989567897e-07,270
2023-04-03,2.1093176940880582e-07,268
2023-04-04,2.09164162981523e-07,268
2023-04-05,4.040352938408583e-07,268
2023-04-06,2.4919212348283265e-07,266
2023-04-10,2.465397416457967e-07,266
2023-04-11,3.455102135454771e-07,266
2023-04-12,3.531158812630368e-07,266
2023-04-13,3.551523978465622e-07,266
2023-04-14,3.520972193795987e-07,266
2023-04-17,3.309368400544428e-07,266
2023-04-18,3.2079789845414287e-07,267
2023-04-19,3.565791545063455e-07,267
2023-04-20,3.604673573521467e-07,267
2023-04-24,8.310525689070826e-07,268
2023-04-25,4.5887314357130133e-07,269
2023-04-26,4.5670481537379024e-07,271
2023-04-27,5.484050035097458e-07,272
2023-04-28,5.359085279311512e-07,273
2023-05-02,5.752903955806421e-07,272
2023-05-03,5.65902548102996e-07,272
2023-05-04,5.479966060596506e-07,274
2023-05-05,5.867299657999778e-07,273
2023-05-08,4.54398036917407e-07,273
2023-05-09,4.5427827113739186e-07,273
2023-05-10,4.6372551559713135e-07,272
2023-05-11,4.0771622774985585e-07,272
2023-05-12,4.0539888936776377e-07,272
2023-05-15,4.065171565339465e-07,271
2023-05-16,4.408468272374908e-07,271
2023-05-17,4.56702054191932e-07,272
2023-05-18,4.6339918841225125e-07,272
2023-05-19,4.271295267520033e-07,271
2023-05-22,4.319700541352876e-07,272
2023-05-23,1.7081298484122138e-07,271
2023-05-24,1.568979895709577e-07,270
2023-05-25,1.4867870726103038e-07,270
2023-05-26,1.49271236260746e-07,271
2023-05-29,1.4312037374019475e-07,269
2023-05-30,1.2961201541212966e-07,270
2023-05-31,1.2279565783946564e-07,274
2023-06-01,1.1304074461119118e-07,276
2023-06-02,1.0153154600566929e-07,276
