date,mse_cov,n_stocks
2023-01-02,1.0539773009449149e-07,307
2023-01-03,1.2237884078442233e-07,307
2023-01-04,1.2506418963781778e-07,307
2023-01-05,1.2849943961559805e-07,307
2023-01-06,1.4859544084628245e-07,307
2023-01-10,1.48480507934455e-07,305
2023-01-11,1.7547743255808146e-07,305
2023-01-12,1.7105792496374968e-07,305
2023-01-13,4.4961171321640456e-07,305
2023-01-16,4.5115045333111494e-07,305
2023-01-17,4.942386222792634e-07,305
2023-01-18,4.7260484054559813e-07,305
2023-01-19,4.531059130525024e-07,305
2023-01-20,5.007563701318981e-07,305
2023-01-23,5.062724977131202e-07,305
2023-01-24,5.057961783488346e-07,305
2023-01-25,5.096344961058696e-07,305
2023-01-26,5.171744905820662e-07,305
2023-01-27,5.179257449000071e-07,305
2023-01-30,5.304523150089728e-07,305
2023-01-31,5.371483574764542e-07,305
2023-02-01,5.548925771207752e-07,305
2023-02-02,5.667253954239015e-07,305
2023-02-03,5.612526505636639e-07,305
2023-02-06,5.415476875029644e-07,305
2023-02-07,5.421987911920929e-07,305
2023-02-08,5.385453331477843e-07,305
2023-02-09,5.368886317584493e-07,305
2023-02-10,1.1346032266549398e-07,305
2023-02-13,1.145541747947777e-07,305
2023-02-14,1.0118645651139051e-07,305
2023-02-15,1.1338698635068348e-07,305
2023-02-16,1.1657531196979334e-07,305
2023-02-17,1.0393482329629941e-07,305
2023-02-23,9.804684707167874e-08,304
2023-02-24,9.613439475322432e-08,304
2023-02-27,8.727537637483143e-08,304
2023-02-28,8.894999315000551e-08,304
2023-03-01,8.847588101351601e-08,304
2023-03-03,1.0108699050818709e-07,303
2023-03-06,1.0144445240003397e-07,303
2023-03-07,9.452831727861359e-08,303
2023-03-08,1.0429690910417653e-07,303
2023-03-09,9.565868382831352e-08,303
2023-03-10,1.0373899310550751e-07,303
2023-03-13,1.093076848420236e-07,303
2023-03-14,1.1142850053156761e-07,303
2023-03-15,1.0702579790574155e-07,303
2023-03-16,1.0472654563955245e-07,303
2023-03-17,8.389925967283665e-08,303
2023-03-20,8.62260784697422e-08,303
2023-03-21,8.449638783414515e-08,303
2023-03-22,8.295920298770778e-08,304
2023-03-23,8.377212070782175e-08,304
2023-03-24,8.5307195123205e-08,304
2023-03-27,9.082689943477178e-08,304
2023-03-28,9.017839469253648e-08,304
2023-03-29,9.261920064601289e-08,304
2023-03-30,9.066500083388466e-08,305
2023-03-31,8.958771477401253e-08,305
2023-04-04,8.284407022753204e-08,303
2023-04-05,8.33291182728438e-08,303
2023-04-06,2.105414672908335e-07,303
2023-04-10,2.027234287842941e-07,303
2023-04-11,2.0416673485359025e-07,303
2023-04-12,2.178269598673473e-07,303
2023-04-13,2.1943062512872361e-07,303
2023-04-14,2.2073455500787357e-07,303
2023-04-17,2.2005826235333672e-07,303
2023-04-18,2.151703430453606e-07,303
2023-04-19,2.0994251716286414e-07,303
2023-04-20,2.1488783560437928e-07,303
2023-04-24,2.1580771804948608e-07,303
2023-04-25,3.222772589730885e-07,303
2023-04-26,3.218452920331379e-07,303
2023-04-27,3.547979349358954e-07,303
2023-04-28,3.5812636013562773e-07,303
2023-05-03,3.767427486222183e-07,302
2023-05-04,3.7785720573108615e-07,302
2023-05-05,3.7861331110296476e-07,302
2023-05-08,3.8799789747124903e-07,302
2023-05-09,2.464013151362196e-07,302
2023-05-10,2.4562860698284206e-07,302
2023-05-11,2.467144398636184e-07,302
2023-05-12,2.4492299750799146e-07,302
2023-05-15,2.4877492395582744e-07,302
2023-05-16,2.4807567764920197e-07,302
2023-05-17,2.5270793798973563e-07,302
2023-05-18,2.5409828223216844e-07,302
2023-05-19,2.5710512513427876e-07,302
2023-05-22,2.5832312659918757e-07,302
2023-05-23,2.5915532567670646e-07,302
2023-05-24,9.831537291936279e-08,302
2023-05-25,9.412270713239718e-08,302
2023-05-26,9.09316493024611e-08,302
2023-05-29,9.176847158821494e-08,302
2023-05-30,9.009623260327736e-08,302
2023-05-31,7.064943638917033e-08,302
2023-06-01,7.013067621268744e-08,302
2023-06-02,6.875362424641315e-08,302
2023-06-05,7.099022642545285e-08,302
2023-06-06,7.151744750705563e-08,302
2023-06-07,6.959496647603493e-08,302
2023-06-09,6.930119996037415e-08,303
2023-06-12,6.600183087076435e-08,303
2023-06-13,6.59113753046521e-08,303
